Class,latitude,longitude,Location,Guidance Value(Rs. per square foot),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,22.54062604,88.35463878,Park Street,14130,8779,9496,10639,10696,12204,12151,11375,42836
0,22.54062113,88.35522213,Park Street,13311,8684,9489,10677,10752,11934,11185,10219,42829
0,22.54007924,88.35521684,Park Street,12960,8878,9622,10884,10988,12527,12444,11533,42864
0,22.53953736,88.35521155,Park Street,14130,8764,9474,10659,10739,12216,11863,10673,42820
0,22.54061621,88.35580549,Park Street,11205,9069,9853,11254,11423,12767,12509,11466,42792
0,22.54008661,88.35434182,Park Street,15534,9131,9748,10736,10941,12469,11764,11037,42919
0,22.53981567,88.35433918,Park Street,11205,8955,9569,10585,10567,11799,11790,10770,43046
0,22.53982058,88.35375583,Park Street,15534,9160,9660,10634,10816,12691,12154,11429,43122
0,22.53900284,88.35433125,Park Street,11790,8937,9464,10565,10348,13698,12809,11138,43035
0,22.53926641,88.35520891,Park Street,11205,8783,9457,10666,10765,12167,11944,11118,42805
0,22.53872698,88.35491195,Park Street,13311,8856,9443,10598,10595,12245,11899,10806,42889
0,22.54061129,88.35638884,Park Street,12375,8763,9540,10837,10896,12409,12132,11376,42764
0,22.54006449,88.35696689,Park Street,12375,8799,9563,10888,11346,13270,13045,12092,42689
0,22.53952506,88.35666992,Park Street,13311,9697,10523,11706,11983,13524,13911,12477,42868
0,22.54060145,88.35755554,Park Street,12375,8511,9017,10036,9832,10420,9217,8436,42309
0,22.53953244,88.3557949,Park Street,11205,8830,9583,10800,10799,13381,12385,10770,42750
0,22.53925412,88.35666727,Park Street,12960,9880,10773,12088,12419,14521,14731,13019,42902
0,22.53899055,88.35578961,Park Street,11790,8813,9448,10795,10776,12930,11552,10493,42794
0,22.53872207,88.35549529,Park Street,11205,8808,9517,10758,10746,12196,11612,10472,42811
0,22.50101176,88.36095981,Jadavpur,15534,9403,10027,11023,11087,12170,11031,10275,43004
0,22.49992552,88.3612408,Jadavpur,11439,9198,9818,10932,11156,12504,12033,11201,42843
0,22.49938856,88.36065232,Jadavpur,12960,8773,9343,10429,10443,11983,11605,10779,42888
0,22.49939595,88.35977755,Jadavpur,11439,8645,9207,10169,10055,11288,9315,8432,42802
0,22.50102161,88.35979344,Jadavpur,13311,9672,10473,11666,11772,12974,13482,12229,42885
0,22.50073589,88.36154034,Jadavpur,14130,9354,9696,10434,10312,11873,12240,11570,43420
0,22.52186186,88.33024787,Alipore,11205,8622,9475,10829,10787,12303,11222,10310,42916
0,22.52132238,88.32995105,Alipore,15534,8522,9341,10613,10549,12509,11749,10926,42916
0,22.52050954,88.32994327,Alipore,15534,8495,9246,10620,10590,13097,12493,11289,42749
0,22.52023859,88.32994067,Alipore,12375,8433,9155,10432,10390,12687,10898,9822,42742
0,22.51942575,88.32993289,Alipore,12960,8242,8791,9897,9740,12878,11646,10252,42849
0,22.51996283,88.33052135,Alipore,14130,8648,9294,10348,10322,12537,11426,10341,42816
0,22.52077567,88.33052913,Alipore,11790,8357,9091,10365,10242,13003,11422,10237,42698
0,22.51888627,88.32963607,Alipore,12960,9211,9571,10483,10293,12498,11876,11311,42795
0,22.51834438,88.32963089,Alipore,12960,8887,9167,10095,9833,12609,11895,10752,42822
0,22.51891513,88.32613647,Alipore,13311,8721,9449,10860,10870,13882,12585,11217,42844
0,22.51837804,88.32554804,Alipore,15534,9229,9961,11020,11050,13383,13275,12197,42942
0,22.51810229,88.32612872,Alipore,12375,8726,9354,10758,10674,13853,12838,11208,42913
0,22.51782414,88.32700103,Alipore,12960,8491,8976,10012,9850,12575,11067,10159,42880
0,22.51781452,88.32816755,Alipore,13311,8542,9205,10510,10585,13437,11812,10481,42912
0,22.51755079,88.32729007,Alipore,10620,8990,9530,10902,11052,13405,13502,12660,42928
0,22.51836363,88.32729783,Alipore,11205,8624,9305,10508,10428,13197,12351,10917,42771
0,22.51835401,88.32846436,Alipore,14130,9258,9984,11270,11462,13556,12709,11693,42796
0,22.51890552,88.32730301,Alipore,11205,8556,9242,10464,10360,13403,12766,11186,42742
0,22.5188959,88.32846954,Alipore,11205,9524,10145,11653,11740,14041,13184,11338,42701
0,22.51862977,88.32788369,Alipore,10620,9028,9674,10884,11191,13535,12411,11409,42736
0,22.51834919,88.32904763,Alipore,11790,8856,9310,10385,10260,12294,11735,10831,42894
0,22.5215885,88.33053692,Alipore,15534,8711,9432,10737,10689,12654,11558,10358,42886
0,22.52077084,88.33111241,Alipore,12960,8660,9254,10444,10309,12357,11467,10502,42683
0,22.51942093,88.33051616,Alipore,11439,8479,9119,10375,10338,12830,11578,10353,42848
0,22.5186081,88.33050838,Alipore,12375,8444,8695,9456,9027,12383,11365,10024,42791
0,22.51914517,88.33109684,Alipore,11205,8358,8773,9730,9516,11952,10922,9827,42809
0,22.51941129,88.3316827,Alipore,12960,8204,8798,10038,9813,13983,12617,10493,42864
0,22.51887422,88.33109424,Alipore,12375,8767,9185,9973,9964,11800,11357,10389,42880
0,22.5188694,88.33167751,Alipore,14130,8595,9269,10163,10154,12813,12067,10733,43015
0,22.52079012,88.32877931,Alipore,12960,8927,9598,10813,10697,13432,11809,10429,42818
0,22.52079734,88.3279044,Alipore,11790,9081,9943,11257,11365,13465,12621,11442,42760
0,22.52133923,88.32790958,Alipore,10620,8836,9683,11109,11193,13119,12304,11356,42854
0,22.52622108,88.3273729,Alipore,13311,8604,9002,9857,9722,11116,11193,10359,42868
0,22.5251397,88.32707089,Alipore,10620,8946,9603,10696,10648,12836,12125,10846,43005
0,22.52595254,88.32707866,Alipore,11205,9139,9689,10672,10781,12260,11645,10737,42935
0,22.52567197,88.32824266,Alipore,15534,8719,9286,10267,10199,12930,11865,10432,42942
0,22.52512285,88.32911242,Alipore,10620,9015,9686,10835,11016,13505,12703,11195,43059
0,22.52377775,88.32793288,Alipore,15534,8594,9341,10659,10645,13257,11510,10167,42887
0,22.52405832,88.3267689,Alipore,11205,8883,9578,10732,10674,12778,11933,10631,42928
0,22.52324067,88.32734442,Alipore,11790,8923,9703,11010,11087,13623,12531,11063,42870
0,22.52269396,88.32792253,Alipore,12960,8349,9305,10736,10682,13242,11882,10537,42878
0,22.5235068,88.32793029,Alipore,11205,8396,9204,10421,10322,12992,11541,9835,42886
0,22.52322864,88.32880263,Alipore,12375,8883,9801,11090,11182,13458,11895,10093,42840
0,22.52268434,88.32908909,Alipore,11205,9208,9957,11370,11399,13207,12014,10383,42814
0,22.52267711,88.32996401,Alipore,12960,9178,9857,11197,11069,15060,12916,10795,42917
0,22.52348754,88.33026344,Alipore,10620,8849,9600,11011,10949,13520,12308,10887,42853
0,22.52457614,88.32969052,Alipore,13311,9017,9613,10697,10749,13932,12234,10568,42866
0,22.52404148,88.32881041,Alipore,15534,9029,9699,10877,10923,14288,13389,11702,42832
0,22.5237633,88.32968275,Alipore,15534,9052,9818,11146,11221,13438,12314,11217,42855
0,22.52484227,88.33027641,Alipore,14130,8693,9473,10700,10850,13458,12544,11392,42919
0,22.52483262,88.33144299,Alipore,15534,8449,9041,10170,10097,12192,11105,10069,42884
0,22.52239652,88.33112798,Alipore,12960,8916,9614,11033,10987,13202,12400,11225,42882
0,22.52321177,88.33084413,Alipore,15534,8720,9508,10880,10841,13678,12299,10713,42723
0,22.51672351,88.32903208,Alipore,13311,9190,9900,11167,11364,13381,13129,12023,42968
0,22.51672833,88.32844882,Alipore,12375,9189,9874,10839,10972,13487,13304,12137,42919
0,22.52460021,88.32677407,Alipore,11439,9072,9805,10954,10989,13106,12734,11345,42984
0,22.52351883,88.32647208,Alipore,15534,9210,9911,11241,11227,13824,12861,11486,42848
0,22.52482055,88.33290122,Alipore,15534,8948,9460,10511,10495,13111,13166,11450,42990
0,22.52130791,88.33170088,Alipore,12960,8803,9194,10185,9976,13322,12502,11280,42711
0,22.51706623,88.35295077,Ballygunge,11439,9205,9881,10999,11059,13095,12951,12080,43258
0,22.51705888,88.35382565,Ballygunge,12375,8931,9708,10948,11046,13214,12399,11157,43178
0,22.51732001,88.3549948,Ballygunge,12960,8869,9556,10767,10792,13124,12283,10891,43107
0,22.5162534,88.35294286,Ballygunge,13311,9163,9839,11059,11069,12458,12403,11423,43260
0,22.51651699,88.35382037,Ballygunge,12960,9087,9826,11098,11204,13056,13207,12089,43225
0,22.51650718,88.35498688,Ballygunge,12375,9068,9781,10958,11043,12812,12946,11818,43166
0,22.5167683,88.35615602,Ballygunge,11439,9367,10075,11262,11483,13402,12894,11644,43080
0,22.51732492,88.35441155,Ballygunge,12375,8969,9714,11011,11180,12904,12884,11836,43066
0,22.51758359,88.35587232,Ballygunge,12375,9214,9931,11269,11342,12955,13549,12878,43177
