Class,latitude,longitude,Location,Guidance Value(Rs. per square foot),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,22.54062604,88.35463878,Park Street,12960,8817,9411,10576,10628,11984,13187,12348,43445
0,22.54062113,88.35522213,Park Street,11790,8782,9343,10362,10292,11406,12044,10901,43419
0,22.54007924,88.35521684,Park Street,12960,8698,9390,10344,10401,11986,11803,10762,43487
0,22.53953736,88.35521155,Park Street,11439,8494,9177,10249,10322,11985,11174,10243,43458
0,22.54061621,88.35580549,Park Street,13311,9318,9861,10670,10857,12198,12405,11407,43292
0,22.54008661,88.35434182,Park Street,12960,9032,9366,10076,9823,11378,12142,11191,43552
0,22.53981567,88.35433918,Park Street,12960,9252,9577,10207,10129,11893,11533,10752,43691
0,22.53982058,88.35375583,Park Street,12375,8971,9393,10116,10267,12412,13111,11862,43783
0,22.53900284,88.35433125,Park Street,11205,8832,9160,9823,9511,11522,12329,11356,43729
0,22.53926641,88.35520891,Park Street,11439,8525,9282,10378,10515,11696,11688,11088,43448
0,22.53872698,88.35491195,Park Street,12960,8886,9430,10345,10367,12401,11602,10498,43485
0,22.54061129,88.35638884,Park Street,12960,9120,9533,10792,10817,12527,12507,12006,43195
0,22.54006449,88.35696689,Park Street,15534,8861,9567,10708,11014,13003,12852,12117,43262
0,22.53952506,88.35666992,Park Street,11205,9157,9686,10652,10749,12057,11787,11073,43504
0,22.54060145,88.35755554,Park Street,15534,8392,8938,9706,9509,9912,8729,8117,42718
0,22.53953244,88.3557949,Park Street,11439,8880,9487,10451,10440,13493,12358,10731,43325
0,22.53925412,88.35666727,Park Street,11205,9493,10185,11138,11412,13004,12948,11743,43595
0,22.53899055,88.35578961,Park Street,11790,8797,9429,10352,10296,12583,11530,10219,43408
0,22.53872207,88.35549529,Park Street,12960,9373,10074,11507,11639,13153,12725,11938,43407
0,22.50101176,88.36095981,Jadavpur,12960,8637,9386,10436,10501,11599,10813,9931,43718
0,22.49992552,88.3612408,Jadavpur,15534,8951,9613,10524,10666,12047,11462,10392,43473
0,22.49938856,88.36065232,Jadavpur,11439,8622,9211,10095,10161,11985,12554,11121,43448
0,22.49939595,88.35977755,Jadavpur,12960,8356,8817,9610,9404,10315,9008,8428,42840
0,22.50102161,88.35979344,Jadavpur,11205,8783,9331,10355,10437,12147,12327,11490,43476
0,22.50073589,88.36154034,Jadavpur,11205,9619,10161,10866,10956,12268,11683,10849,44145
0,22.52186186,88.33024787,Alipore,11205,8594,9259,10253,10276,11810,11385,10427,43507
0,22.52132238,88.32995105,Alipore,11205,8478,9003,9926,9802,11965,11881,10709,43469
0,22.52050954,88.32994327,Alipore,11439,8694,9356,10458,10468,12686,11900,10825,43324
0,22.52023859,88.32994067,Alipore,15534,8439,9033,10100,9959,12239,11234,10021,43312
0,22.51942575,88.32993289,Alipore,13311,8237,8839,9917,9763,13067,11612,10198,43438
0,22.51996283,88.33052135,Alipore,13311,8594,9254,10364,10361,12617,12171,11149,43346
0,22.52077567,88.33052913,Alipore,12960,8370,9031,10371,10282,13059,12863,11857,43271
0,22.51888627,88.32963607,Alipore,12960,9012,9757,10753,10879,12741,13585,12284,43393
0,22.51834438,88.32963089,Alipore,12375,8525,9158,10183,10065,12403,12112,10487,43415
0,22.51891513,88.32613647,Alipore,11790,8527,9317,10425,10442,12870,11608,10423,43431
0,22.51837804,88.32554804,Alipore,12960,8937,9657,10871,10864,13567,14091,12607,43509
0,22.51810229,88.32612872,Alipore,12960,8756,9210,10398,10353,12955,12083,11210,43483
0,22.51782414,88.32700103,Alipore,15534,8967,9616,10588,10873,12826,12400,11200,43439
