Class,latitude,longitude,Location,Guidance Value(Rs. per square meter),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,13.0066996,77.57961502,Malleshwaram,205000,8975,9330,10424,10793,13269,14044,12737,46056
0,13.00642584,77.57988859,Malleshwaram,270000,8865,9331,10299,11109,14999,14375,12758,46001
0,13.00642584,77.57988859,Malleshwaram,482300,8865,9331,10299,11109,14999,14375,12758,46001
0,13.00587834,77.58043572,Malleshwaram,270000,9182,10133,11175,12432,14173,14094,12508,45801
0,13.00559908,77.58126203,Malleshwaram,163000,9266,9840,10836,11446,14571,13821,12318,45969
0,13.00642035,77.58044133,Malleshwaram,344500,9078,9514,10201,10988,14467,13468,11632,45859
0,13.00587559,77.58071209,Malleshwaram,344500,9182,10133,11175,12432,14173,14094,12508,45801
0,13.0066886,77.58072051,Malleshwaram,203000,9173,9294,9956,10402,12808,14245,13331,45827
0,13.00668585,77.58099688,Malleshwaram,482300,11225,11425,12556,12822,14420,14812,14390,45792
0,13.00668585,77.58099688,Malleshwaram,204300,11225,11425,12556,12822,14420,14812,14390,45792
0,13.00722511,77.58127886,Malleshwaram,205000,9392,9626,11102,11133,14069,13860,13459,45685
0,13.00720861,77.58293709,Malleshwaram,177000,8606,9073,10354,11384,14742,14267,12503,45917
0,13.0069376,77.58293429,Malleshwaram,177000,9055,9474,10567,11117,14216,13811,12241,45894
0,13.00692935,77.5837634,Malleshwaram,344500,8521,9030,9966,10341,12663,13174,12186,46101
0,13.00720035,77.58376621,Malleshwaram,203000,8673,8986,10310,10946,13983,14637,13661,46119
0,13.00747135,77.58376902,Malleshwaram,390040,9056,9623,10535,11477,13634,13650,12749,46153
0,13.00774236,77.58377183,Malleshwaram,205000,9733,9754,10962,11079,13412,12718,11808,46182
0,13.00747411,77.58349265,Malleshwaram,205000,9227,9727,10583,10883,12843,12514,11666,46079
0,13.00747411,77.58349265,Malleshwaram,286020,9227,9727,10583,10883,12843,12514,11666,46079
0,13.0069321,77.58348703,Malleshwaram,205000,8979,9338,10699,10996,12695,13518,12968,46038
0,13.0069376,77.58293429,Malleshwaram,204300,9055,9474,10567,11117,14216,13811,12241,45894
0,13.00938765,77.58185405,Malleshwaram,344500,9141,9258,10399,10627,13375,12794,11991,46008
0,13.0093904,77.58157767,Malleshwaram,163000,8824,9076,9967,10412,14057,13395,12046,45996
0,13.0096669,77.58102772,Malleshwaram,205000,9112,9372,10583,11402,14475,14417,12734,45951
0,13.00993791,77.58103053,Malleshwaram,162500,9515,9949,10879,11571,13791,13089,11516,45798
0,13.01075092,77.58103894,Malleshwaram,162500,8628,8737,10140,10026,14352,13628,12227,45725
0,13.01020891,77.58103333,Malleshwaram,344500,10236,10639,11709,12619,15500,15042,14178,45780
