Class,latitude,longitude,Location,Guidance Value(Rs. per square meter.),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,13.00683464,77.57966248,Malleshwaram,263700,10058,10468,11936,11985,15944,16199,14246,43912
0,13.00656089,77.57993605,Malleshwaram,204300,8977,9531,11196,11356,15810,14743,13246,44030
0,13.00628988,77.57993325,Malleshwaram,156030,9117,9744,11900,12099,15790,16052,14881,43956
0,13.00601613,77.58020682,Malleshwaram,482300,9441,10111,11890,12558,15310,15477,13195,44044
0,13.00546312,77.58130669,Malleshwaram,344500,9176,9731,11290,11357,15012,14535,12682,44184
0,13.00628439,77.58048599,Malleshwaram,278600,9138,9886,11188,11802,15541,14985,12574,44178
0,13.00573963,77.58075676,Malleshwaram,390040,9219,10233,11422,12620,16705,15975,13152,44319
0,13.00655264,77.58076517,Malleshwaram,156030,9906,10294,11811,11677,14791,16405,15863,44176
0,13.0068209,77.58104434,Malleshwaram,156030,9121,9459,10982,10691,14525,13827,12931,44045
0,13.00654989,77.58104154,Malleshwaram,270000,9322,9843,10901,11169,13315,14637,13713,44047
0,13.00736015,77.58132632,Malleshwaram,156030,9929,10839,11395,12093,16028,16865,14394,44035
0,13.0073464,77.58270819,Malleshwaram,390040,8035,8464,9760,9843,13147,11814,10408,44157
0,13.00707265,77.58298175,Malleshwaram,163000,8553,8907,10280,10379,12564,11782,10458,44147
0,13.00679339,77.58380806,Malleshwaram,390040,7622,8152,9578,9334,11372,10492,9638,44051
0,13.00706439,77.58381087,Malleshwaram,177000,8330,9012,10012,10176,12614,11437,10553,44017
0,13.00733539,77.58381368,Malleshwaram,390040,8572,8825,10439,10431,12674,11700,10571,43983
0,13.0076064,77.58381648,Malleshwaram,163000,8092,8441,9576,9423,11668,10592,9744,43950
0,13.0076119,77.58326374,Malleshwaram,270000,8329,8707,10069,9973,12147,11506,10506,44033
0,13.0073409,77.58326093,Malleshwaram,177000,8585,8886,10353,10187,13136,12033,10690,44075
0,13.00679614,77.58353169,Malleshwaram,203000,8029,8692,10147,10134,11837,10635,9705,44095
0,13.00680164,77.58297895,Malleshwaram,270000,8333,8616,9743,9783,12295,12167,11064,44144
0,13.00952269,77.58190151,Malleshwaram,263700,8085,8664,9551,9935,12891,11683,10301,44301
0,13.00952819,77.58134876,Malleshwaram,203000,8690,9151,10439,10869,14650,13424,11550,44386
0,13.00980194,77.58107519,Malleshwaram,286020,8709,9192,10382,11036,13762,14741,12778,44359
0,13.01007295,77.58107799,Malleshwaram,203000,8620,8686,10163,9845,13071,12025,11226,44192
0,13.01061496,77.5810836,Malleshwaram,482300,8803,9090,10656,10845,14897,14429,12194,44123
0,13.01034395,77.5810808,Malleshwaram,263700,8560,9071,10077,10867,13123,12445,10969,44154
0,13.01061771,77.58080723,Malleshwaram,270000,8897,9235,11062,11430,15515,14329,12817,44122
0,13.01034945,77.58052805,Malleshwaram,156030,8755,9105,10767,10952,14732,13407,11668,44183
0,13.00981019,77.58024606,Malleshwaram,177000,10539,11750,13076,14447,18568,17638,14860,44515
0,13.00981294,77.57996969,Malleshwaram,482300,9620,10354,11564,12579,14752,15019,12922,44288
0,13.01008395,77.57997249,Malleshwaram,482300,9166,9612,10905,11036,13937,13238,11741,44371
0,13.00982119,77.57914056,Malleshwaram,482300,9737,10292,11408,11996,15255,14260,12896,44102
0,13.01063145,77.57942534,Malleshwaram,177000,10171,10567,12678,13210,16432,16990,14500,44317
0,13.01090521,77.57915177,Malleshwaram,286020,10073,10681,11833,12098,14282,14557,13392,44262
0,13.01062596,77.5799781,Malleshwaram,263700,9278,9825,11469,11699,14541,14471,12752,44342
0,13.01116522,77.58026008,Malleshwaram,163000,9758,10655,11915,12815,16074,15049,12892,43969
0,13.01116797,77.5799837,Malleshwaram,205000,9212,10059,11262,11894,14391,15043,13378,43976
0,12.936599,77.61071513,Koramangala,482300,10429,11729,14018,14572,17860,17552,15182,43980
0,12.936057,77.61070949,Koramangala,205000,9907,10848,12825,13016,15884,15121,13764,43730
0,12.93551223,77.61098013,Koramangala,390040,6976,8154,10682,10970,13815,13045,11327,42841
0,12.9349647,77.61152707,Koramangala,156030,10969,12720,15090,15700,18946,18436,16104,42156
0,12.93630863,77.61264632,Koramangala,203000,8656,9749,10978,11617,15934,14841,12079,44022
0,12.93576663,77.61264068,Koramangala,156030,9472,10307,12125,12563,15666,15508,13760,43759
0,12.93575832,77.61346954,Koramangala,204300,9436,10180,11885,12339,14935,15081,13654,43907
0,12.93684232,77.61348083,Koramangala,162500,9204,9566,10819,10854,13565,14057,12903,43993
0,12.93630309,77.6131989,Koramangala,278600,8654,9185,10693,10636,14529,13882,12387,43988
0,12.93549009,77.61319043,Koramangala,270000,4941,6946,10104,10635,14027,14829,13397,43615
0,12.93712716,77.61210221,Koramangala,344500,9096,9482,10761,10881,13721,13901,12822,44058
0,12.93493702,77.61428993,Koramangala,203000,10085,10651,12475,12168,16416,16954,14948,43892
0,12.93493148,77.6148425,Koramangala,177000,8086,8837,10644,10738,14916,14408,12336,44342
0,12.93440609,77.61317914,Koramangala,344500,10021,10959,13589,14491,19057,19301,16853,43428
0,12.93518862,77.61622675,Koramangala,263700,8853,9504,10951,11240,14298,14663,13378,44723
0,12.93946908,77.62179777,Koramangala,278600,15342,15848,17781,18810,22268,22691,20034,42465
0,12.93918418,77.62317638,Koramangala,344500,7316,8123,10122,10489,12507,12434,11241,44118
0,12.93891596,77.62289726,Koramangala,390040,7054,7684,10008,9619,12167,11893,10825,44063
0,12.93838509,77.62178644,Koramangala,286020,11663,12338,14374,15688,19530,19730,17159,43246
0,12.9386672,77.62068412,Koramangala,482300,22510,23055,24452,25195,27737,27167,24260,41844
0,12.93972895,77.62290576,Koramangala,162500,7632,8050,9544,8898,11412,12010,11006,43526
0,12.93837953,77.62233901,Koramangala,156030,3391,5691,9787,10011,14090,13464,11999,44013
0,12.93890484,77.62400241,Koramangala,344500,8840,9519,11044,11108,12405,11687,10812,44493
0,12.94000829,77.62207972,Koramangala,270000,8744,9135,13013,13382,17767,18879,16673,42679
0,12.93782642,77.62343849,Koramangala,263700,9085,9606,10856,10895,14848,13852,12031,44611
0,12.93756098,77.62288309,Koramangala,162500,8848,9607,11101,11375,13884,14122,12925,44556
0,12.93893264,77.62123953,Koramangala,204300,16939,17786,19381,20655,24567,24867,21953,41941
0,12.93944684,77.62400808,Koramangala,286020,7690,8316,10260,10153,12932,12623,11907,44200
0,12.92940606,77.6252846,Koramangala,205000,8785,9109,10576,10686,14507,13667,11776,43972
0,12.92886685,77.62500266,Koramangala,162500,7927,8233,9294,9042,14156,12742,10720,43810
0,12.92805108,77.62527043,Koramangala,205000,7782,7972,8868,8609,11392,10091,9160,43687
0,12.92723809,77.62526193,Koramangala,163000,8479,8875,9955,9887,11969,10845,9673,43393
0,12.92669609,77.62525626,Koramangala,203000,8123,8604,9743,9716,11961,10833,9703,43226
